01.06.2020 00:00;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_TFW;Vwz_TFW
05.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 08:00;0;0;0;0;1;0;2;0;0;0
05.06.2020 09:00;0;0;0;0;0;0;4;9000;0;0
05.06.2020 10:00;5;1200;4;1200;2;0;6;5400;0;0
05.06.2020 11:00;0;0;5;6000;0;0;0;0;0;0
05.06.2020 12:00;3;0;2;1200;2;600;5;1200;0;0
05.06.2020 13:00;12;2400;7;6600;0;0;0;0;0;0
05.06.2020 14:00;7;5400;2;6000;24;17400;4;1800;0;0
05.06.2020 15:00;1;0;2;1200;4;1200;5;1800;0;0
05.06.2020 16:00;6;600;7;1200;3;0;0;0;0;0
05.06.2020 17:00;4;1800;2;600;7;3000;7;1200;0;0
05.06.2020 18:00;6;600;2;1200;3;600;4;1800;0;0
05.06.2020 19:00;0;0;0;0;5;0;1;0;0;0
05.06.2020 20:00;0;0;3;600;0;0;21;6000;0;0
05.06.2020 21:00;0;0;1;4200;0;0;0;0;0;0
05.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 08:00;0;0;0;0;5;600;0;0;0;0
06.06.2020 09:00;0;0;2;600;0;0;0;0;0;0
06.06.2020 10:00;4;600;2;3600;12;3000;4;600;0;0
06.06.2020 11:00;0;0;3;1200;2;0;1;1200;0;0
06.06.2020 12:00;5;600;3;3000;2;0;8;1800;0;0
06.06.2020 13:00;4;600;2;0;0;0;0;0;0;0
06.06.2020 14:00;0;0;1;600;3;0;2;7800;0;0
06.06.2020 15:00;5;1200;0;0;4;600;0;0;0;0
06.06.2020 16:00;8;1800;0;0;4;600;5;1800;0;0
06.06.2020 17:00;18;3600;5;8400;2;0;3;600;0;0
06.06.2020 18:00;3;0;2;600;0;0;3;2400;0;0
06.06.2020 19:00;2;0;9;4800;4;600;4;1200;0;0
06.06.2020 20:00;5;600;1;600;0;0;0;0;0;0
06.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 22:00;1;600;0;0;0;0;0;0;0;0
06.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 08:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 09:00;0;0;1;600;0;0;0;0;0;0
07.06.2020 10:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 11:00;1;0;0;0;1;1200;0;0;0;0
07.06.2020 12:00;0;0;0;0;7;600;2;1200;0;0
07.06.2020 13:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 14:00;7;600;2;600;1;0;7;1800;0;0
07.06.2020 15:00;6;3600;3;3600;0;0;1;2400;0;0
07.06.2020 16:00;9;1200;7;7800;0;0;2;600;0;0
07.06.2020 17:00;2;600;9;4200;1;0;8;1800;0;0
07.06.2020 18:00;1;0;0;0;8;1800;2;600;0;0
07.06.2020 19:00;1;0;0;0;1;0;0;0;0;0
07.06.2020 20:00;0;0;0;0;0;0;1;0;0;0
07.06.2020 21:00;1;0;1;3600;0;0;0;0;0;0
07.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 07:00;0;0;1;0;2;600;1;0;0;0
08.06.2020 08:00;0;0;1;600;9;600;7;6000;0;0
08.06.2020 09:00;6;600;0;0;4;600;3;2400;0;0
08.06.2020 10:00;3;600;7;15600;1;0;1;0;0;0
08.06.2020 11:00;1;0;4;1200;7;1200;7;2400;0;0
08.06.2020 12:00;3;0;5;2400;1;0;6;600;0;0
08.06.2020 13:00;5;600;2;0;10;600;3;2400;0;0
08.06.2020 14:00;5;0;4;7200;7;1200;1;600;0;0
08.06.2020 15:00;20;5400;15;6600;6;600;9;6600;0;0
08.06.2020 16:00;15;3000;10;8400;21;4200;6;2400;0;0
08.06.2020 17:00;20;4800;19;13200;14;3600;16;9600;0;0
08.06.2020 18:00;9;1800;10;13800;6;1200;4;7800;0;0
08.06.2020 19:00;36;13200;7;9000;11;2400;6;4200;0;0
08.06.2020 20:00;0;0;1;0;0;0;0;0;0;0
08.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 07:00;0;0;0;0;5;0;3;600;0;0
09.06.2020 08:00;1;0;0;0;5;1800;1;0;0;0
09.06.2020 09:00;0;0;0;0;5;0;3;1200;0;0
09.06.2020 10:00;9;1800;6;2400;1;0;10;11400;0;0
09.06.2020 11:00;9;4200;4;9000;2;600;2;1800;0;0
09.06.2020 12:00;6;1200;10;2400;1;0;0;0;0;0
09.06.2020 13:00;15;5400;14;13200;0;0;1;600;0;0
09.06.2020 14:00;1;0;4;1800;5;1200;1;600;0;0
09.06.2020 15:00;15;10200;4;3000;20;3000;10;14400;0;0
09.06.2020 16:00;14;1800;15;10200;6;0;9;3000;0;0
09.06.2020 17:00;22;3600;14;23400;59;15600;12;22800;0;0
09.06.2020 18:00;0;0;5;600;14;3600;9;13800;0;0
09.06.2020 19:00;8;3000;1;0;0;0;0;0;0;0
09.06.2020 20:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 07:00;1;0;1;1200;0;0;2;2400;0;0
10.06.2020 08:00;3;600;2;1200;2;0;2;0;0;0
10.06.2020 09:00;3;600;3;1200;0;0;2;3000;0;0
10.06.2020 10:00;1;0;1;0;7;1200;0;0;0;0
10.06.2020 11:00;2;1200;3;1200;2;0;5;3000;0;0
10.06.2020 12:00;8;600;11;2400;2;0;1;0;0;0
10.06.2020 13:00;8;600;6;2400;31;3000;4;0;0;0
10.06.2020 14:00;6;1200;5;3600;1;0;2;2400;0;0
10.06.2020 15:00;7;1800;1;3600;23;2400;18;6000;0;0
10.06.2020 16:00;6;1200;20;16800;2;0;6;1200;0;0
10.06.2020 17:00;13;3000;6;3600;26;7200;13;10200;0;0
10.06.2020 18:00;10;1200;4;6000;2;0;0;0;0;0
10.06.2020 19:00;3;600;1;600;4;600;0;0;0;0
10.06.2020 20:00;2;0;1;0;0;0;0;0;0;0
10.06.2020 21:00;8;600;0;0;2;600;0;0;0;0
10.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 08:00;0;0;0;0;0;0;2;0;0;0
11.06.2020 09:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 10:00;0;0;1;1800;0;0;0;0;0;0
11.06.2020 11:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 12:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 13:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 14:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 15:00;3;1200;0;0;2;1200;0;0;0;0
11.06.2020 16:00;2;600;0;0;0;0;0;0;0;0
11.06.2020 17:00;3;600;3;1800;0;0;0;0;0;0
11.06.2020 18:00;1;0;2;600;4;1200;2;3600;0;0
11.06.2020 19:00;0;0;1;1800;0;0;0;0;0;0
11.06.2020 20:00;0;0;0;0;4;600;0;0;0;0
