01.06.2020 00:00;Bel_TB32;Vwz_TB32;Bel_TF32;Vwz_TF32;Bel_V21;Vwz_V21;Bel_V81;Vwz_V81;Bel_VK1_2Stoer;Vwz_VK1_2Stoer
05.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;1;600;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 07:00;10;6600;4;3600;0;0;0;0;0;0
05.06.2020 08:00;12;9000;7;5400;0;0;0;0;0;0
05.06.2020 09:00;3;1800;1;600;0;0;0;0;0;0
05.06.2020 10:00;13;10800;10;7200;0;0;0;0;0;0
05.06.2020 11:00;2;1200;6;3600;0;0;0;0;0;0
05.06.2020 12:00;2;1200;2;1200;0;0;0;0;0;0
05.06.2020 13:00;3;1800;9;5400;0;0;0;0;0;0
05.06.2020 14:00;6;6000;7;4200;0;0;0;0;0;0
05.06.2020 15:00;3;2400;4;2400;0;0;0;0;0;0
05.06.2020 16:00;2;2400;2;1200;0;0;0;0;0;0
05.06.2020 17:00;4;2400;2;1200;0;0;0;0;0;0
05.06.2020 18:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 19:00;2;1200;0;0;0;0;0;0;0;0
05.06.2020 20:00;1;600;1;600;0;0;0;0;0;0
05.06.2020 21:00;0;0;2;1200;0;0;0;0;0;0
05.06.2020 22:00;1;600;0;0;0;0;0;0;0;0
05.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;1;600;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;1;600;0;0;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
06.06.2020 08:00;0;0;2;1200;0;0;0;0;0;0
06.06.2020 09:00;1;600;2;1200;0;0;0;0;0;0
06.06.2020 10:00;1;600;1;600;0;0;0;0;0;0
06.06.2020 11:00;6;4200;4;2400;0;0;0;0;0;0
06.06.2020 12:00;2;1800;3;2400;0;0;0;0;0;0
06.06.2020 13:00;1;600;5;3600;0;0;0;0;0;0
06.06.2020 14:00;2;1800;5;6600;0;0;0;0;0;0
06.06.2020 15:00;2;1200;1;600;0;0;0;0;0;0
06.06.2020 16:00;2;1200;3;1800;0;0;0;0;0;0
06.06.2020 17:00;6;4200;4;3000;0;0;0;0;0;0
06.06.2020 18:00;5;3000;3;1800;0;0;0;0;0;0
06.06.2020 19:00;3;1800;4;2400;0;0;0;0;0;0
06.06.2020 20:00;1;600;2;1200;0;0;0;0;0;0
06.06.2020 21:00;0;0;2;1200;0;0;0;0;0;0
06.06.2020 22:00;1;600;0;0;0;0;0;0;0;0
06.06.2020 23:00;1;600;0;0;0;0;0;0;0;0
07.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 08:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 09:00;0;0;1;600;0;0;0;0;0;0
07.06.2020 10:00;0;0;4;3000;0;0;0;0;0;0
07.06.2020 11:00;1;600;1;600;0;0;0;0;0;0
07.06.2020 12:00;4;3000;3;1800;0;0;0;0;0;0
07.06.2020 13:00;3;3000;4;3000;0;0;0;0;0;0
07.06.2020 14:00;1;600;2;1200;0;0;0;0;0;0
07.06.2020 15:00;0;0;2;1200;0;0;0;0;0;0
07.06.2020 16:00;1;600;2;1200;0;0;0;0;0;0
07.06.2020 17:00;0;0;1;1800;0;0;0;0;0;0
07.06.2020 18:00;2;1200;2;1200;0;0;0;0;0;0
07.06.2020 19:00;1;600;2;1200;0;0;0;0;0;0
07.06.2020 20:00;4;3000;3;1800;0;0;0;0;0;0
07.06.2020 21:00;0;0;1;600;0;0;0;0;0;0
07.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
07.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
