01.06.2020 00:00;Bel_AF_Bld_33;Vwz_AF_Bld_33;Bel_AF_FG33;Vwz_AF_FG33;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP2_A142;Vwz_MP2_A142;Bel_MP2_A8;Vwz_MP2_A8;Bel_MP3;Vwz_MP3
03.06.2020 06:00;22;28940;0;3600000;47;1228569;106;103550;14;12580;14;12590;14;12580;16;14390;16;14380
03.06.2020 07:00;22;23060;0;3600000;47;1364891;110;74150;16;14380;16;14390;16;14480;17;15300;18;16180
03.06.2020 08:00;30;33140;0;3600000;34;1025090;101;58520;16;14380;16;14370;16;14380;16;14400;16;14390
03.06.2020 09:00;21;24680;0;3600000;22;791267;88;44790;17;15280;16;14400;17;15300;18;16180;18;16180
03.06.2020 10:00;29;23620;0;3600000;25;839627;99;54530;16;14380;17;15300;17;15270;16;14446;16;14390
03.06.2020 11:00;24;22830;0;3600000;27;842361;101;49000;17;15260;16;14370;15;13490;16;14447;16;14390
03.06.2020 12:00;25;21910;0;3600000;21;929580;108;46509;16;14446;17;15290;16;14390;16;14380;16;14449
03.06.2020 13:00;28;23600;0;3600000;13;686691;82;39130;16;14380;16;14370;16;14400;16;14370;16;14400
03.06.2020 14:00;22;23280;0;3600000;16;679382;89;39160;17;15280;17;15280;17;15270;17;15290;17;15290
03.06.2020 15:00;30;31360;0;3600000;13;709962;89;34610;16;14380;16;14400;16;14370;16;14390;16;14400
03.06.2020 16:00;33;37038;0;3600000;8;401680;87;37690;16;14390;16;14360;16;14390;16;14360;16;14390
03.06.2020 17:00;18;20900;0;3600000;12;316716;93;35340;15;13500;15;13480;15;13490;14;12590;14;12560
03.06.2020 18:00;15;15990;0;3600000;6;310698;71;25840;15;13480;15;13490;15;13490;15;13490;15;13470
03.06.2020 19:00;16;14580;0;3600000;4;111856;57;20190;11;9890;11;9880;11;9900;9;8100;8;7200
03.06.2020 20:00;4;7550;0;3600000;10;320926;32;18960;8;7180;8;7170;8;7200;7;6290;8;7190
03.06.2020 21:00;9;8810;0;3600000;5;49627;25;11040;7;6280;7;6300;7;6280;8;7200;8;7200
03.06.2020 22:00;7;5740;0;3600000;2;52860;15;9580;6;5400;6;5400;6;5400;4;3590;4;3600
03.06.2020 23:00;1;70;0;3600000;1;26260;8;3740;4;3590;4;3600;4;3600;5;4490;5;4490
04.06.2020 00:00;3;1740;0;3600000;1;33490;10;4690;6;5380;6;5400;6;5400;2;1800;2;1790
04.06.2020 01:00;0;0;0;3600000;2;57630;2;1660;0;0;0;0;0;0;0;0;0;0
04.06.2020 02:00;0;0;0;3600000;1;22350;4;2490;0;0;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;3600000;0;0;3;630;0;0;0;0;0;0;1;900;1;900
04.06.2020 04:00;0;0;0;3600000;1;480;9;6910;2;1800;2;1800;2;1800;3;2690;3;2690
04.06.2020 05:00;3;8620;0;3600000;2;31900;36;12260;9;8090;9;8080;9;8090;12;10780;12;10800
04.06.2020 06:00;16;24228;0;3600000;42;1255187;98;61354;14;12590;14;12600;14;12690;16;14380;16;14390
04.06.2020 07:00;20;17770;0;3600000;29;1036581;89;49205;16;14360;16;14390;16;14370;17;15290;17;15280
04.06.2020 08:00;23;16840;0;3600000;33;1433616;101;66310;17;15290;17;15270;17;15270;17;15290;17;15270
04.06.2020 09:00;21;15920;0;3600000;23;902291;92;51580;16;14360;16;14390;16;14360;16;14390;16;14360
04.06.2020 10:00;29;24926;1;3481610;24;899949;91;48880;15;13490;15;13480;15;13490;15;13490;16;13539
04.06.2020 11:00;33;37700;0;3600000;20;979985;82;42687;16;14380;16;14380;16;14390;16;14400;16;14390
04.06.2020 12:00;33;27510;0;3600000;23;965229;122;62430;16;14390;16;14380;16;14390;16;14390;16;14390
04.06.2020 13:00;31;30475;0;3600000;17;649826;98;46760;15;13460;15;13470;15;13490;14;12590;15;13490
04.06.2020 14:00;37;33640;0;3600000;15;470150;91;43590;18;16190;18;16180;18;16200;18;16180;18;16190
04.06.2020 15:00;39;42422;0;3600000;8;225500;98;37650;16;14380;16;14380;16;14390;14;12600;14;12590
04.06.2020 16:00;36;34170;0;3600000;12;625523;124;45768;16;14390;16;14390;16;14390;17;15300;17;15280
04.06.2020 17:00;25;34880;0;3600000;17;580280;107;45490;16;14360;16;14380;16;14380;17;15290;17;15280
04.06.2020 18:00;14;7170;0;3600000;9;307730;96;35980;16;14390;16;14370;16;14390;15;13490;15;13490
04.06.2020 19:00;8;4740;0;3600000;3;147020;50;17110;11;9890;11;9900;11;9880;8;7200;8;7190
04.06.2020 20:00;6;3740;0;3600000;6;291050;41;16060;8;7190;8;7160;8;7190;9;8080;9;8090
04.06.2020 21:00;3;1654;0;3600000;0;0;20;5790;7;6290;7;6300;7;6300;7;6300;6;5400
04.06.2020 22:00;0;0;0;3600000;4;135374;17;8170;6;5400;6;5390;6;5390;5;4500;6;5400
04.06.2020 23:00;0;0;0;3600000;3;86786;11;6080;4;3590;4;3590;4;3590;4;3600;4;3590
05.06.2020 00:00;0;0;0;3600000;3;61144;7;2840;6;5390;6;5380;6;5400;2;1800;2;1800
05.06.2020 01:00;0;0;0;3600000;0;0;3;980;0;0;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;3600000;1;20290;4;2350;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;3600000;1;39850;3;1800;0;0;0;0;0;0;1;900;1;900
05.06.2020 04:00;0;0;1;3440600;0;0;5;2210;2;1800;2;1800;2;1800;3;2700;3;2700
05.06.2020 05:00;5;5340;0;3600000;0;0;32;11240;9;8100;9;8080;9;8080;12;10790;12;10790
05.06.2020 06:00;19;16530;0;3600000;51;1582703;95;72810;14;12388;14;12590;14;12580;16;14370;16;14370
05.06.2020 07:00;21;14900;0;3600000;30;1231713;92;51120;16;14380;15;13480;16;14380;17;15300;17;15270
05.06.2020 08:00;26;21889;0;3600000;26;1021115;74;45660;16;14413;16;14177;16;14390;16;14370;16;14380
05.06.2020 09:00;41;29400;0;3600000;23;947582;90;47830;16;14380;16;14426;16;14380;16;14453;16;14360
05.06.2020 10:00;29;26918;0;3600000;23;845039;79;44400;16;14400;16;14380;15;13470;16;14380;16;14370
05.06.2020 11:00;27;18070;0;3600000;16;685560;100;45640;16;14400;16;14360;16;14390;16;14380;16;14380
05.06.2020 12:00;37;46526;0;3600000;23;866683;108;46550;16;14360;16;14456;16;14400;16;14390;16;14370
05.06.2020 13:00;32;38300;0;3600000;15;909087;124;51870;16;14370;16;14390;15;13480;16;14400;16;14390
05.06.2020 14:00;24;17809;0;3600000;23;1231120;103;46823;17;15280;17;15270;17;15290;17;15290;17;15270
05.06.2020 15:00;21;15320;0;3600000;9;239150;106;38970;16;14370;16;14400;16;14390;16;14390;16;14380
05.06.2020 16:00;21;22440;0;3600000;12;458917;90;38310;16;14380;16;14390;16;14370;16;14370;16;14390
05.06.2020 17:00;17;15590;0;3600000;9;385233;68;26100;16;14360;16;14380;16;14390;16;14390;16;14380
05.06.2020 18:00;7;5570;0;3600000;9;331245;63;29290;16;14380;16;14390;16;14390;15;13460;15;13490
05.06.2020 19:00;6;3120;0;3600000;5;148593;45;16210;11;9890;11;9890;11;9870;8;7200;8;7190
05.06.2020 20:00;12;16310;0;3600000;4;222393;33;14000;8;7236;8;7253;8;7200;9;8090;9;8090
05.06.2020 21:00;7;5590;0;3600000;5;125840;27;10160;7;6270;7;6300;7;6300;7;6290;7;6300
