01.06.2020 00:00;Bel_TF35;Vwz_TF35;Bel_TF35a;Vwz_TF35a;Bel_TF36;Vwz_TF36;Bel_TF36a;Vwz_TF36a
05.06.2020 16:00;0;0;18;3600;3;0;1;0
05.06.2020 17:00;0;0;4;0;3;1800;0;0
05.06.2020 18:00;0;0;0;0;3;0;0;0
05.06.2020 19:00;0;0;7;1800;1;0;0;0
05.06.2020 20:00;0;0;6;1200;8;1200;0;0
05.06.2020 21:00;0;0;2;0;1;0;0;0
05.06.2020 22:00;0;0;0;0;0;0;0;0
05.06.2020 23:00;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;0;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;1;0;0;0
06.06.2020 07:00;0;0;11;3600;1;0;0;0
06.06.2020 08:00;0;0;2;0;1;0;0;0
06.06.2020 09:00;0;0;0;0;14;1800;0;0
06.06.2020 10:00;0;0;1;1200;4;600;0;0
06.06.2020 11:00;0;0;2;0;8;0;0;0
06.06.2020 12:00;0;0;2;0;11;4800;0;0
06.06.2020 13:00;0;0;6;1800;0;0;0;0
06.06.2020 14:00;0;0;0;0;6;2400;0;0
06.06.2020 15:00;0;0;4;1200;3;600;0;0
06.06.2020 16:00;0;0;1;0;6;3600;2;0
06.06.2020 17:00;0;0;0;0;9;1200;0;0
06.06.2020 18:00;0;0;7;1200;2;600;0;0
06.06.2020 19:00;0;0;4;1200;6;1200;0;0
06.06.2020 20:00;0;0;5;600;5;1200;0;0
06.06.2020 21:00;0;0;0;0;1;0;0;0
06.06.2020 22:00;0;0;0;0;0;0;3;0
06.06.2020 23:00;0;0;0;0;0;0;0;0
07.06.2020 00:00;0;0;0;0;0;0;0;0
07.06.2020 01:00;0;0;0;0;0;0;0;0
07.06.2020 02:00;0;0;0;0;0;0;0;0
07.06.2020 03:00;0;0;0;0;0;0;0;0
07.06.2020 04:00;0;0;0;0;0;0;0;0
07.06.2020 05:00;0;0;0;0;0;0;0;0
07.06.2020 06:00;0;0;0;0;0;0;0;0
07.06.2020 07:00;0;0;0;0;0;0;0;0
07.06.2020 08:00;0;0;0;0;0;0;0;0
07.06.2020 09:00;0;0;1;0;0;0;0;0
07.06.2020 10:00;0;0;7;1200;6;0;0;0
07.06.2020 11:00;0;0;0;0;6;0;0;0
07.06.2020 12:00;0;0;6;600;2;600;0;0
07.06.2020 13:00;0;0;2;600;5;1200;0;0
07.06.2020 14:00;0;0;2;600;13;1800;0;0
07.06.2020 15:00;0;0;7;1200;6;2400;0;0
07.06.2020 16:00;0;0;1;0;48;6000;0;0
07.06.2020 17:00;0;0;4;1200;6;600;0;0
07.06.2020 18:00;0;0;18;4200;16;3000;0;0
07.06.2020 19:00;0;0;9;0;2;0;0;0
07.06.2020 20:00;0;0;1;0;10;1200;0;0
07.06.2020 21:00;0;0;2;0;1;0;0;0
07.06.2020 22:00;0;0;0;0;2;0;0;0
07.06.2020 23:00;0;0;9;1800;0;0;0;0
08.06.2020 00:00;0;0;0;0;0;0;0;0
08.06.2020 01:00;0;0;0;0;0;0;0;0
08.06.2020 02:00;0;0;0;0;0;0;0;0
08.06.2020 03:00;0;0;0;0;0;0;0;0
08.06.2020 04:00;0;0;0;0;0;0;0;0
08.06.2020 05:00;0;0;0;0;0;0;0;0
08.06.2020 06:00;0;0;2;600;7;1800;0;0
08.06.2020 07:00;0;0;0;0;12;4200;0;0
08.06.2020 08:00;0;0;8;0;10;1800;0;0
08.06.2020 09:00;0;0;2;600;10;600;0;0
08.06.2020 10:00;0;0;35;4200;89;16800;0;0
08.06.2020 11:00;0;0;4;1200;3;0;0;0
08.06.2020 12:00;0;0;5;1200;10;600;0;0
08.06.2020 13:00;0;0;22;6600;32;4200;0;0
08.06.2020 14:00;0;0;13;4800;7;0;3;0
08.06.2020 15:00;0;0;11;1800;37;8400;4;600
08.06.2020 16:00;8;7800;16;2400;3;0;0;0
08.06.2020 17:00;0;0;20;5400;8;1800;0;0
08.06.2020 18:00;0;0;3;600;14;600;8;1200
08.06.2020 19:00;1;600;5;600;4;0;0;0
08.06.2020 20:00;1;0;4;1200;4;1800;0;0
08.06.2020 21:00;0;0;0;0;2;0;0;0
08.06.2020 22:00;0;0;0;0;0;0;0;0
08.06.2020 23:00;0;0;0;0;0;0;0;0
09.06.2020 00:00;0;0;0;0;0;0;0;0
09.06.2020 01:00;0;0;0;0;0;0;0;0
09.06.2020 02:00;0;0;0;0;0;0;0;0
09.06.2020 03:00;0;0;0;0;0;0;0;0
09.06.2020 04:00;0;0;0;0;0;0;0;0
09.06.2020 05:00;0;0;0;0;0;0;0;0
09.06.2020 06:00;0;0;2;1200;0;0;0;0
09.06.2020 07:00;1;600;2;0;40;10200;0;0
09.06.2020 08:00;0;0;12;2400;5;600;0;0
09.06.2020 09:00;0;0;1;0;7;600;0;0
09.06.2020 10:00;2;600;32;9600;94;13800;0;0
09.06.2020 11:00;1;0;11;4200;5;0;2;0
09.06.2020 12:00;1;0;13;1800;14;1800;1;0
09.06.2020 13:00;0;0;18;13200;12;1800;0;0
09.06.2020 14:00;0;0;7;600;6;1800;0;0
09.06.2020 15:00;0;0;2;0;26;4200;0;0
09.06.2020 16:00;2;0;14;2400;38;11400;0;0
09.06.2020 17:00;0;0;3;0;8;1200;0;0
09.06.2020 18:00;0;0;22;4800;17;2400;2;0
09.06.2020 19:00;0;0;3;600;14;1200;0;0
09.06.2020 20:00;0;0;0;0;3;0;0;0
09.06.2020 21:00;0;0;1;0;0;0;0;0
09.06.2020 22:00;0;0;0;0;4;0;0;0
09.06.2020 23:00;0;0;0;0;1;0;0;0
10.06.2020 00:00;0;0;0;0;0;0;0;0
10.06.2020 01:00;0;0;0;0;0;0;0;0
10.06.2020 02:00;0;0;0;0;3;0;0;0
10.06.2020 03:00;0;0;0;0;0;0;0;0
10.06.2020 04:00;0;0;0;0;0;0;0;0
10.06.2020 05:00;0;0;0;0;0;0;0;0
10.06.2020 06:00;0;0;1;0;0;0;0;0
10.06.2020 07:00;0;0;11;3000;20;4200;0;0
10.06.2020 08:00;0;0;7;3000;11;0;0;0
10.06.2020 09:00;0;0;11;1800;8;0;0;0
10.06.2020 10:00;0;0;4;600;12;600;3;600
10.06.2020 11:00;0;0;5;0;6;600;0;0
10.06.2020 12:00;0;0;3;600;13;3000;0;0
10.06.2020 13:00;0;0;19;4200;5;0;3;600
10.06.2020 14:00;0;0;28;8400;23;4200;1;600
10.06.2020 15:00;0;0;10;3000;17;1200;0;0
10.06.2020 16:00;0;0;12;1800;14;1200;12;2400
10.06.2020 17:00;0;0;10;1200;22;3000;0;0
10.06.2020 18:00;0;0;8;1200;14;1800;0;0
10.06.2020 19:00;0;0;36;16200;2;0;4;600
10.06.2020 20:00;0;0;4;600;2;0;0;0
10.06.2020 21:00;0;0;1;0;7;3000;0;0
10.06.2020 22:00;0;0;0;0;0;0;0;0
10.06.2020 23:00;0;0;0;0;0;0;0;0
11.06.2020 00:00;0;0;0;0;0;0;0;0
11.06.2020 01:00;0;0;0;0;0;0;0;0
11.06.2020 02:00;0;0;0;0;4;600;0;0
11.06.2020 03:00;0;0;0;0;0;0;0;0
11.06.2020 04:00;0;0;0;0;0;0;0;0
11.06.2020 05:00;0;0;0;0;0;0;0;0
11.06.2020 06:00;0;0;0;0;0;0;0;0
11.06.2020 07:00;0;0;0;0;0;0;0;0
11.06.2020 08:00;0;0;3;0;0;0;0;0
11.06.2020 09:00;0;0;3;0;5;0;0;0
11.06.2020 10:00;0;0;0;0;1;0;0;0
11.06.2020 11:00;0;0;0;0;1;0;0;0
11.06.2020 12:00;0;0;3;0;2;0;0;0
11.06.2020 13:00;0;0;19;6600;5;0;0;0
11.06.2020 14:00;0;0;10;1800;3;1800;0;0
11.06.2020 15:00;0;0;14;1800;3;0;0;0
11.06.2020 16:00;0;0;4;2400;17;1200;0;0
11.06.2020 17:00;1;600;8;600;15;3600;2;0
11.06.2020 18:00;0;0;5;3000;0;0;0;0
11.06.2020 19:00;0;0;1;0;3;600;0;0
11.06.2020 20:00;0;0;0;0;4;1200;0;0
11.06.2020 21:00;0;0;0;0;2;600;0;0
11.06.2020 22:00;0;0;3;0;1;0;0;0
11.06.2020 23:00;0;0;0;0;1;0;0;0
12.06.2020 00:00;0;0;0;0;0;0;0;0
12.06.2020 01:00;0;0;6;600;3;2400;0;0
12.06.2020 02:00;0;0;0;0;0;0;0;0
12.06.2020 03:00;0;0;0;0;0;0;0;0
12.06.2020 04:00;0;0;0;0;0;0;0;0
12.06.2020 05:00;0;0;0;0;0;0;0;0
12.06.2020 06:00;0;0;1;0;0;0;0;0
12.06.2020 07:00;0;0;3;1200;2;600;0;0
12.06.2020 08:00;0;0;6;5400;14;3000;0;0
12.06.2020 09:00;0;0;5;3600;24;4800;0;0
12.06.2020 10:00;0;0;4;600;14;1800;0;0
12.06.2020 11:00;6;1200;0;0;4;2400;0;0
12.06.2020 12:00;0;0;9;2400;4;0;0;0
12.06.2020 13:00;0;0;8;1800;6;2400;0;0
12.06.2020 14:00;0;0;4;0;5;1800;0;0
12.06.2020 15:00;0;0;31;11400;11;8400;1;600
12.06.2020 16:00;0;0;6;1200;7;1800;2;0
12.06.2020 17:00;0;0;18;4200;19;1800;0;0
12.06.2020 18:00;0;0;2;0;11;600;0;0
12.06.2020 19:00;0;0;1;0;6;1200;0;0
12.06.2020 20:00;0;0;12;3600;14;3000;0;0
12.06.2020 21:00;0;0;1;0;2;0;1;0
12.06.2020 22:00;0;0;2;0;0;0;3;0
12.06.2020 23:00;0;0;0;0;0;0;0;0
13.06.2020 00:00;0;0;0;0;1;0;0;0
13.06.2020 01:00;0;0;0;0;0;0;0;0
13.06.2020 02:00;0;0;0;0;0;0;0;0
13.06.2020 03:00;0;0;0;0;0;0;0;0
13.06.2020 04:00;0;0;0;0;0;0;0;0
13.06.2020 05:00;0;0;0;0;0;0;0;0
13.06.2020 06:00;0;0;0;0;0;0;0;0
13.06.2020 07:00;0;0;0;0;1;0;0;0
13.06.2020 08:00;0;0;2;600;0;0;0;0
13.06.2020 09:00;0;0;3;3000;3;0;0;0
13.06.2020 10:00;0;0;2;0;4;1200;0;0
13.06.2020 11:00;0;0;1;0;3;0;1;0
13.06.2020 12:00;0;0;4;0;1;1200;0;0
13.06.2020 13:00;0;0;9;600;8;1200;0;0
13.06.2020 14:00;0;0;0;0;2;0;0;0
13.06.2020 15:00;6;11400;3;0;6;1200;1;0
13.06.2020 16:00;0;0;2;0;36;5400;2;0
13.06.2020 17:00;0;0;5;0;0;0;0;0
13.06.2020 18:00;3;4200;2;1200;14;2400;0;0
13.06.2020 19:00;5;600;6;600;26;6000;0;0
13.06.2020 20:00;0;0;2;5400;12;1200;0;0
13.06.2020 21:00;0;0;3;0;2;0;0;0
13.06.2020 22:00;0;0;0;0;2;0;0;0
13.06.2020 23:00;0;0;0;0;0;0;0;0
14.06.2020 00:00;0;0;0;0;0;0;0;0
14.06.2020 01:00;0;0;0;0;0;0;0;0
14.06.2020 02:00;0;0;0;0;0;0;0;0
14.06.2020 03:00;0;0;0;0;0;0;0;0
14.06.2020 04:00;0;0;0;0;0;0;0;0
14.06.2020 05:00;0;0;0;0;0;0;0;0
14.06.2020 06:00;0;0;0;0;0;0;0;0
14.06.2020 07:00;0;0;0;0;0;0;0;0
14.06.2020 08:00;0;0;0;0;0;0;0;0
14.06.2020 09:00;0;0;0;0;0;0;0;0
14.06.2020 10:00;0;0;6;1200;1;0;0;0
14.06.2020 11:00;1;0;15;4800;1;0;0;0
14.06.2020 12:00;0;0;2;0;6;600;0;0
14.06.2020 13:00;0;0;2;600;3;0;0;0
14.06.2020 14:00;0;0;8;600;11;3000;0;0
14.06.2020 15:00;0;0;2;0;2;1200;0;0
14.06.2020 16:00;0;0;2;0;14;3000;0;0
14.06.2020 17:00;0;0;8;600;19;6000;0;0
14.06.2020 18:00;0;0;15;3000;14;3000;0;0
14.06.2020 19:00;0;0;0;0;5;1200;0;0
14.06.2020 20:00;0;0;4;600;2;0;0;0
14.06.2020 21:00;0;0;0;0;1;0;0;0
14.06.2020 22:00;2;4200;0;0;4;0;0;0
14.06.2020 23:00;1;0;0;0;1;0;0;0
15.06.2020 00:00;0;0;0;0;0;0;0;0
15.06.2020 01:00;0;0;0;0;0;0;0;0
15.06.2020 02:00;0;0;0;0;0;0;0;0
15.06.2020 03:00;0;0;0;0;0;0;0;0
15.06.2020 04:00;0;0;0;0;0;0;0;0
15.06.2020 05:00;0;0;0;0;0;0;0;0
15.06.2020 06:00;0;0;3;1200;0;0;0;0
