01.06.2020 00:00;Bel_AD75/HD81_M2_7X;Vwz_AD75/HD81_M2_7X;Bel_AD81_M5_769;Vwz_AD81_M5_769;Bel_AH75/HH81_M2_7X;Vwz_AH75/HH81_M2_7X;Bel_AH75_M7_770;Vwz_AH75_M7_770;Bel_AH81_M4_738;Vwz_AH81_M4_738;Bel_AH81_M5_769;Vwz_AH81_M5_769;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_H75_M1_736;Vwz_H75_M1_736;Bel_T11_T12;Vwz_T11_T12;Bel_T1_T2;Vwz_T1_T2;Bel_T5_T6;Vwz_T5_T6;Bel_T7_T8;Vwz_T7_T8
15.01.2022 14:00;0;0;0;0;13;12970;17;16990;17;16980;17;16990;677;378074;366;196935;487;292819;320;166960;19;19000;5;6740;28;46530;27;55640;3;4960
15.01.2022 15:00;1;1050;1;1000;14;13990;17;16960;18;18000;17;17000;627;376926;332;235476;418;239434;296;133410;22;21990;8;11600;22;31090;21;43780;11;17380
15.01.2022 16:00;0;0;0;0;14;13980;17;16990;17;16980;17;16980;634;333332;329;177392;416;241298;307;151430;20;19980;11;20150;20;31810;27;49860;11;30890
15.01.2022 17:00;1;1000;1;1000;14;13970;17;16980;17;16990;17;16990;602;295150;300;154000;418;230410;243;111849;21;20960;7;10040;21;30000;22;34770;0;0
15.01.2022 18:00;0;0;0;0;14;13980;17;16990;17;17000;17;16980;570;298938;272;133110;413;227060;288;135980;20;19980;5;7100;22;34730;26;53968;7;19650
15.01.2022 19:00;0;0;0;0;14;13980;15;15000;15;15000;15;14970;477;226140;194;83650;311;177582;224;110500;18;17980;8;11540;14;18680;19;51830;6;9730
15.01.2022 20:00;0;0;0;0;13;13056;14;13980;14;13980;14;13990;399;182020;144;60630;266;150130;191;105872;17;16990;2;2660;6;10580;12;30182;5;8330
15.01.2022 21:00;0;0;0;0;10;10000;12;11980;11;10970;12;12000;358;145913;137;53280;211;112644;133;58220;14;13970;6;9110;3;4560;10;32250;4;5310
15.01.2022 22:00;0;0;0;0;10;10000;11;11000;11;10980;11;10990;353;153410;102;44150;174;88218;76;32940;13;13000;5;6690;8;15620;8;18440;2;2650
15.01.2022 23:00;0;0;0;0;6;5990;7;7000;7;7000;7;6990;314;127380;111;43970;148;69410;112;48920;10;9990;1;1340;4;5330;12;35120;4;6000
16.01.2022 00:00;0;0;0;0;5;4990;7;7000;5;5000;7;7000;221;94500;61;25250;99;47040;58;24950;6;5990;0;0;0;0;6;9989;0;0
16.01.2022 01:00;0;0;0;0;5;4990;6;5980;5;5000;6;5980;144;57870;30;11200;87;39320;38;15040;6;6000;1;1330;1;1330;3;4320;2;2650
16.01.2022 02:00;0;0;0;0;5;4990;6;5990;5;5000;6;6000;104;40480;30;10880;52;23360;31;12960;6;6000;1;1330;0;0;1;1310;0;0
16.01.2022 03:00;0;0;0;0;3;3000;3;3000;3;2990;3;3000;82;33360;17;6400;46;20630;22;8960;3;3000;0;0;0;0;0;0;0;0
16.01.2022 04:00;0;0;0;0;4;3990;4;4000;4;4000;4;4000;66;27550;12;4000;38;16310;11;4480;6;5990;0;0;0;0;1;2060;0;0
16.01.2022 05:00;0;0;0;0;4;3990;4;4000;4;4000;4;4000;65;25900;13;5270;35;16310;31;12160;6;6000;1;1740;1;1340;1;1310;0;0
16.01.2022 06:00;0;0;0;0;7;7000;6;6000;9;9000;6;6000;61;23500;21;7840;45;20640;23;9920;10;10000;0;0;0;0;0;0;0;0
16.01.2022 07:00;0;0;0;0;6;5990;7;7000;8;7990;7;7000;72;30060;18;7040;40;18070;30;13760;10;9990;0;0;1;1390;2;3990;0;0
16.01.2022 08:00;0;0;0;0;6;6000;7;6970;8;7990;7;6980;117;46390;32;11520;71;31718;28;10560;10;10000;1;1330;1;1410;0;0;2;2650
16.01.2022 09:00;0;0;0;0;10;9990;11;10970;11;10990;11;10970;194;74210;69;28160;131;66050;78;36960;13;13000;1;1330;7;25390;2;6800;0;0
16.01.2022 10:00;0;0;0;0;10;9980;11;10990;11;10980;11;10990;281;110830;91;36620;199;102050;111;50620;14;14000;1;1340;5;7690;7;10430;0;0
16.01.2022 11:00;0;0;0;0;10;9980;11;11000;11;11000;11;11000;354;140240;134;57699;269;141484;168;73780;13;12990;1;1330;13;19260;12;22620;2;2710
16.01.2022 12:00;0;0;0;0;10;10054;13;13000;11;10980;13;12980;451;189637;178;75520;307;160720;193;85250;14;13980;4;5440;9;12680;13;21330;2;2810
16.01.2022 13:00;0;0;0;0;11;10990;14;13980;14;13990;14;14000;499;224919;214;91943;330;188240;225;102380;17;17000;3;4600;8;12090;19;43509;3;5120
16.01.2022 14:00;0;0;0;0;12;11990;15;14990;15;14980;15;14980;583;270961;251;114830;353;211203;248;136011;18;18000;3;4310;14;24130;16;34600;4;5400
16.01.2022 15:00;0;0;0;0;12;11990;15;14960;15;15000;15;15000;587;275497;238;104620;353;211298;253;151510;18;17990;5;8460;14;24040;27;48950;6;7960
16.01.2022 16:00;0;0;0;0;12;12000;15;14990;15;15000;15;14990;579;263260;249;112090;385;247626;255;134530;18;17960;4;5870;14;22290;14;40980;8;13750
16.01.2022 17:00;0;0;0;0;12;11990;15;14990;15;14980;15;14990;575;255680;246;106265;354;213480;274;138397;18;17990;6;9310;15;21700;15;24430;7;12870
16.01.2022 18:00;0;0;0;0;12;11970;14;14000;15;15000;14;14000;522;228563;227;93632;360;198712;263;120315;18;18046;2;2680;10;16130;18;38410;6;12890
16.01.2022 19:00;0;0;0;0;12;12000;13;12980;14;13980;13;12990;409;168512;168;69155;321;180440;187;85860;17;16970;9;12640;5;7130;13;35686;6;13000
16.01.2022 20:00;0;0;0;0;11;10970;11;10990;12;12000;11;10990;340;141230;123;50230;254;129120;153;73420;15;14980;3;4310;10;25140;15;24360;8;18135
16.01.2022 21:00;0;0;0;0;10;10000;11;10990;11;10980;11;11000;263;102210;101;38520;183;84770;93;41280;14;13980;3;4760;2;2660;7;11870;3;5270
16.01.2022 22:00;0;0;0;0;10;9990;11;10990;11;11000;11;10970;202;81520;55;22540;131;61780;84;38720;13;12990;1;1330;2;3790;6;16770;5;8480
16.01.2022 23:00;0;0;0;0;6;5990;7;7000;8;8000;7;6990;111;45750;30;12460;79;36140;33;13810;10;10000;0;0;1;2000;9;22530;2;3530
17.01.2022 00:00;0;0;0;0;5;4990;9;9000;5;5000;9;8980;65;24930;11;3360;42;20320;12;5110;6;5980;0;0;0;0;0;0;1;2020
17.01.2022 01:00;0;0;0;0;0;0;2;2000;0;0;2;2000;48;21600;6;2400;21;10230;9;4160;0;0;0;0;0;0;0;0;0;0
17.01.2022 02:00;0;0;0;0;0;0;0;0;0;0;0;0;28;11040;8;2880;16;8150;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2022 03:00;0;0;0;0;2;2000;1;1000;2;1990;1;1000;34;15520;4;1920;23;12220;6;2080;2;1990;0;0;0;0;0;0;0;0
17.01.2022 04:00;0;0;0;0;7;7000;5;5000;7;7036;5;5057;78;32470;23;8790;23;12310;11;4480;9;9000;0;0;0;0;0;0;0;0
17.01.2022 05:00;0;0;0;0;19;18960;16;15980;20;20000;16;15980;218;92140;101;42260;144;79401;97;42550;24;24039;0;0;2;2700;3;3970;3;9390
17.01.2022 06:00;0;0;0;0;23;22990;22;22058;25;24990;22;21990;435;203264;265;128580;316;178049;270;122886;28;27960;0;0;10;16080;4;5850;8;11460
17.01.2022 07:00;0;0;0;0;28;27970;27;26960;30;30000;27;26990;641;389166;426;240270;495;382249;458;227411;33;32960;11;15000;40;65780;23;35437;26;41570
17.01.2022 08:00;0;0;0;0;26;25980;25;24960;25;25000;25;25000;630;351335;386;200566;516;428300;495;291080;30;29980;9;13320;42;70760;18;29830;27;45690
17.01.2022 09:00;0;0;0;0;19;18980;26;25970;21;21000;26;25980;580;362289;321;172809;423;269170;380;215410;23;22990;10;16420;24;42390;19;50530;12;23320
17.01.2022 10:00;1;1000;1;1000;21;20970;22;21990;22;21990;22;21970;581;331257;264;166010;422;273544;325;174249;28;27990;9;13520;31;50398;20;42270;8;16440
17.01.2022 11:00;0;0;0;0;19;18970;22;22000;22;21980;22;22000;598;374670;285;142170;377;246140;302;146480;25;24950;8;10680;28;55490;14;22250;9;11940
17.01.2022 12:00;0;0;0;0;25;24970;23;22960;26;25990;22;21990;566;392150;339;235378;404;237587;328;160120;30;29970;25;41530;49;78020;25;36780;13;20610
17.01.2022 13:00;0;0;0;0;27;26930;27;26950;29;28970;26;25990;631;459999;357;256269;434;277790;316;161570;33;32970;18;24720;49;93980;22;38110;18;28460
17.01.2022 14:00;0;0;0;0;23;22980;26;26010;26;25990;26;25970;635;359527;356;208077;440;253380;341;173860;28;27970;13;18880;37;62060;29;52270;17;29070
17.01.2022 15:00;0;0;0;0;23;22970;24;23980;26;25980;25;24980;675;456446;426;279400;454;293688;339;170828;29;28990;16;27770;27;40120;28;46580;23;40329
17.01.2022 16:00;0;0;0;0;25;24980;27;27000;25;25000;26;25970;705;491026;448;307926;449;269790;399;196576;31;30980;13;19300;33;54190;32;55640;13;32980
17.01.2022 17:00;0;0;0;0;23;22970;25;24990;26;25950;26;25970;689;437168;411;257416;462;258567;371;187918;28;27990;8;12310;26;48790;32;53419;17;25778
17.01.2022 18:00;0;0;0;0;25;24990;26;25980;27;26980;26;25990;564;303557;308;172470;436;246740;320;169680;30;29990;10;13940;17;24500;22;37550;7;9420
17.01.2022 19:00;0;0;0;0;20;19990;23;23039;24;23990;24;23990;465;238571;241;121451;297;151998;182;86975;26;25990;12;16960;17;24890;16;24430;7;10330
17.01.2022 20:00;0;0;0;0;18;17980;24;23990;20;19970;23;22970;336;154714;134;57314;211;110247;139;61890;23;22990;7;9350;10;13159;9;27450;6;9660
17.01.2022 21:00;0;0;0;0;14;13980;17;16990;14;14000;17;16990;275;125250;106;46700;143;74860;86;38880;18;18000;6;8710;10;32200;12;54080;8;10620
17.01.2022 22:00;0;0;0;0;11;10990;12;11990;12;12000;12;11990;199;85880;64;24940;105;49239;48;22060;14;13990;3;4010;5;7830;9;25600;1;1320
17.01.2022 23:00;0;0;0;0;6;5990;6;5990;7;6990;7;7000;123;55170;33;13750;70;34380;34;13590;10;9970;0;0;3;11100;5;24480;2;2650
18.01.2022 00:00;0;0;0;0;5;5000;8;8000;5;4990;8;8000;72;28460;16;6400;38;19980;14;5590;6;5990;0;0;0;0;0;0;0;0
18.01.2022 01:00;0;0;0;0;0;0;3;2990;0;0;3;2990;35;13760;5;1760;29;14880;11;4480;0;0;0;0;0;0;0;0;0;0
18.01.2022 02:00;0;0;0;0;0;0;0;0;0;0;0;0;35;15520;4;1920;19;9600;8;2720;0;0;0;0;0;0;0;0;0;0
18.01.2022 03:00;0;0;0;0;2;2000;1;1000;2;2000;1;1000;27;12000;6;2720;19;10710;6;2560;2;2000;0;0;0;0;0;0;0;0
18.01.2022 04:00;0;0;0;0;7;6990;5;4990;7;7000;5;5000;66;25910;24;8960;29;17920;15;6240;9;9000;0;0;0;0;0;0;0;0
18.01.2022 05:00;0;0;0;0;18;18000;16;16000;19;18980;16;15970;205;82550;119;47840;114;60366;89;36310;23;22990;1;1890;3;4100;1;1310;1;2920
18.01.2022 06:00;0;0;0;0;22;21980;21;20970;26;25970;22;21940;410;180180;249;103620;299;154950;256;113720;28;27960;3;4180;5;9540;7;10990;3;3950
18.01.2022 07:00;0;0;0;0;24;23980;26;25970;26;25970;26;25980;569;314442;389;197370;473;378868;477;285882;30;30000;10;14940;44;75060;26;40518;19;36840
18.01.2022 08:00;0;0;0;0;26;25990;24;23980;28;27960;25;25000;613;391940;371;232250;501;363470;509;335507;32;31990;9;13820;40;63810;23;37040;16;22940
18.01.2022 09:00;0;0;0;0;18;17980;24;23960;21;20990;23;22990;576;301010;327;160720;446;306745;397;215610;24;23990;11;16670;26;42150;17;33870;7;9580
18.01.2022 10:00;0;0;0;0;19;18980;21;20960;21;20980;21;20980;521;290623;248;130529;422;266598;311;147483;27;26960;3;3990;14;19910;15;26360;7;12669
18.01.2022 11:00;1;1000;0;0;20;20000;20;19980;21;20980;20;19980;580;334062;319;198672;378;213512;294;141502;25;24990;12;16920;21;35740;16;29920;11;21140
18.01.2022 12:00;0;0;1;1000;22;21930;23;23050;24;23990;23;22940;575;372686;329;264020;391;236210;303;152168;27;26990;10;19610;33;57680;20;39400;15;21880
18.01.2022 13:00;0;0;0;0;26;25960;26;25970;26;25990;25;24980;618;501202;378;287879;462;287307;349;177746;30;29970;8;11580;46;101070;34;53590;27;60860
18.01.2022 14:00;0;0;1;1000;23;22960;25;24960;26;25970;25;24970;612;445330;397;276630;431;269578;360;186160;30;29960;24;50250;27;56310;27;62240;15;24770
18.01.2022 15:00;0;0;0;0;24;23990;25;25045;26;25990;25;24940;730;483854;469;308964;485;286593;371;187280;29;28990;15;22585;36;54200;33;52900;15;27016
18.01.2022 16:00;0;0;0;0;24;23950;26;26008;26;25990;26;25970;678;421188;453;315804;481;289039;378;189241;30;29980;13;21210;35;56460;27;52480;11;15100
18.01.2022 17:00;0;0;0;0;25;24980;26;25990;27;27015;26;25980;711;390865;475;288510;482;270507;389;185160;31;30990;28;47930;28;46490;24;47060;16;34230
18.01.2022 18:00;0;0;0;0;24;23980;26;25970;25;24950;26;25980;639;329307;373;186651;422;235170;339;167770;30;29980;9;12750;20;31640;15;25980;16;25040
18.01.2022 19:00;0;0;0;0;22;21980;24;24026;24;23990;24;23970;451;202930;251;115845;315;178290;226;112100;28;28045;7;11400;16;26550;8;12920;4;6950
18.01.2022 20:00;0;0;0;0;17;16970;23;22980;19;18980;23;22990;346;142380;147;58670;205;104130;123;56812;23;22970;3;4830;8;12860;6;9139;6;8150
18.01.2022 21:00;0;0;0;0;13;12990;16;15990;14;13990;16;15970;271;111640;108;44950;172;93420;90;43030;17;17000;8;14339;8;12350;7;9980;6;7980
18.01.2022 22:00;0;0;0;0;12;12000;12;12000;13;13057;12;12000;215;85040;72;27210;150;68967;70;29110;15;14970;4;5340;4;9900;2;2690;3;4070
18.01.2022 23:00;0;0;0;0;6;5990;7;7000;7;7000;7;6990;135;55886;33;13590;78;38870;39;16790;10;10000;3;5220;1;1330;4;8020;2;2660
19.01.2022 00:00;0;0;0;0;5;4990;8;7990;5;5000;8;7990;59;27810;11;4320;43;20480;19;8630;6;5990;0;0;0;0;2;2680;0;0
19.01.2022 01:00;0;0;0;0;0;0;3;3000;0;0;3;2990;38;16800;4;1440;27;13600;10;4000;0;0;0;0;0;0;0;0;0;0
19.01.2022 02:00;0;0;0;0;0;0;0;0;0;0;0;0;32;14400;7;2720;21;10720;4;1760;0;0;0;0;0;0;0;0;0;0
19.01.2022 03:00;0;0;0;0;2;2000;1;1000;2;1990;1;1000;43;20320;5;2080;23;12000;7;3040;2;2000;0;0;0;0;0;0;0;0
19.01.2022 04:00;0;0;0;0;6;5990;5;4980;6;5990;5;5000;61;25600;23;9920;20;9120;19;8000;9;8990;0;0;0;0;0;0;0;0
19.01.2022 05:00;0;0;0;0;19;18980;15;14980;21;20990;15;15000;199;84430;106;46390;126;68000;83;36140;23;22980;1;1330;4;6010;4;6470;1;1350
19.01.2022 06:00;0;0;0;0;23;22950;22;21990;26;25970;22;21980;387;181092;250;120760;282;148782;232;105600;29;29056;2;2670;3;5210;9;25740;4;8150
19.01.2022 07:00;0;0;1;1000;23;22980;26;26048;24;23990;26;25980;602;302047;422;200690;478;366388;486;260848;31;30980;8;11500;51;100218;22;34530;24;39180
19.01.2022 08:00;0;0;0;0;25;24980;25;24970;28;27990;25;24970;573;357355;366;203891;489;305620;494;266156;30;29980;12;18950;36;54510;24;45760;10;14340
19.01.2022 09:00;0;0;0;0;21;20950;25;24970;23;22990;25;24970;528;309400;297;171480;449;311460;370;208759;27;26970;6;8540;34;55099;16;24170;8;11110
19.01.2022 10:00;1;990;0;0;19;18980;23;22960;22;21990;22;21960;562;302103;249;151290;426;246608;297;144619;26;25960;10;13380;34;52980;11;16050;7;9830
19.01.2022 11:00;1;1000;1;990;19;19000;21;20980;21;20990;20;19990;581;332570;283;138010;403;229246;304;146980;26;25980;14;20480;21;36610;16;22930;13;21210
19.01.2022 12:00;0;0;1;1000;24;23990;24;23980;27;26980;24;23990;613;393379;348;219270;431;272790;322;163009;29;28990;30;48867;41;66318;22;39209;16;23750
19.01.2022 13:00;0;0;0;0;28;27950;27;26960;30;29970;26;25980;614;444129;391;331110;401;258240;288;141240;34;33990;21;31440;42;74530;30;48163;19;30700
19.01.2022 14:00;0;0;0;0;24;23980;27;27061;25;24960;27;26960;659;478427;368;286858;446;290300;351;184080;28;27960;8;12620;37;62180;19;31330;23;55500
19.01.2022 15:00;0;0;0;0;24;23950;26;25980;26;25960;27;26990;694;492860;439;294519;469;276390;362;173540;30;29960;17;26130;40;72220;22;42130;21;32810
