01.06.2020 00:00;Bel_D571;Vwz_D571;Bel_ST53;Vwz_ST53;Bel_ST54;Vwz_ST54;Bel_T32;Vwz_T32;Bel_T32a;Vwz_T32a;Bel_T94;Vwz_T94
04.06.2020 12:00;0;0;0;0;0;0;14;27000;10;4800;5;3600
04.06.2020 13:00;0;0;0;0;0;0;25;15000;18;7200;14;10200
04.06.2020 14:00;0;0;0;0;0;0;38;49800;16;17400;15;11400
04.06.2020 15:00;0;0;0;0;0;0;16;16200;25;13200;17;13800
04.06.2020 16:00;0;0;0;0;0;0;27;23400;19;15600;9;7200
04.06.2020 17:00;0;0;0;0;0;0;29;60000;6;4200;13;10200
04.06.2020 18:00;0;0;0;0;0;0;15;25800;4;3600;13;10200
04.06.2020 19:00;0;0;0;0;0;0;15;8400;7;5400;4;3000
04.06.2020 20:00;0;0;0;0;0;0;6;1200;2;600;0;0
04.06.2020 21:00;0;0;0;0;0;0;3;10200;0;0;6;5400
04.06.2020 22:00;0;0;0;0;0;0;11;19800;0;0;0;0
04.06.2020 23:00;0;0;0;0;0;0;2;1800;0;0;0;0
05.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0;3;1200;1;600
05.06.2020 06:00;0;0;0;0;0;0;6;600;5;3000;3;2400
05.06.2020 07:00;0;0;0;0;0;0;31;40800;2;600;11;9000
05.06.2020 08:00;0;0;0;0;0;0;53;74400;9;6000;10;7800
05.06.2020 09:00;0;0;0;0;0;0;21;15000;17;10200;17;13200
05.06.2020 10:00;0;0;0;0;0;0;31;39000;12;10800;16;12600
05.06.2020 11:00;0;0;0;0;0;0;28;73800;13;9000;7;5400
05.06.2020 12:00;0;0;0;0;0;0;31;43200;19;17400;12;9600
05.06.2020 13:00;0;0;0;0;0;0;25;82800;11;6600;24;19200
05.06.2020 14:00;0;0;0;0;0;0;27;48000;27;20400;15;11400
05.06.2020 15:00;0;0;0;0;0;0;17;14400;10;4800;7;5400
05.06.2020 16:00;0;0;0;0;0;0;13;1800;5;1200;3;1800
05.06.2020 17:00;0;0;0;0;0;0;17;13200;7;600;6;4200
05.06.2020 18:00;0;0;0;0;0;0;14;14400;0;0;6;5400
05.06.2020 19:00;0;0;0;0;0;0;5;20400;2;1200;1;600
05.06.2020 20:00;0;0;0;0;0;0;16;30000;7;5400;1;600
05.06.2020 21:00;0;0;0;0;0;0;5;1800;0;0;0;0
05.06.2020 22:00;0;0;0;0;0;0;5;4800;3;600;0;0
05.06.2020 23:00;0;0;1;600;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
