01.06.2020 00:00;Bel_A51_M1S_494;Vwz_A51_M1S_494;Bel_A54_M4SL_506;Vwz_A54_M4SL_506;Bel_A55_M3S_505;Vwz_A55_M3S_505;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H51_A74/M1S_493;Vwz_H51_A74/M1S_493;Bel_H54_M3SL_1289;Vwz_H54_M3SL_1289;Bel_H55_A30/M3S_504;Vwz_H55_A30/M3S_504;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
02.06.2020 14:00;17;16980;4;4000;21;20990;88;76830;262;343670;325;675954;0;0;17;16960;4;4000;20;19990;0;0;0;0;0;0;0;0
02.06.2020 15:00;16;16000;4;4000;21;20990;93;100200;228;461818;354;754817;0;0;16;16000;4;3990;20;20000;0;0;0;0;0;0;0;0
02.06.2020 16:00;15;14980;4;3990;19;18990;111;103340;215;443262;335;610000;0;0;15;14990;4;4000;19;19000;0;0;0;0;0;0;0;0
02.06.2020 17:00;15;15000;4;4000;20;20000;67;73450;179;472910;326;700837;0;0;16;15980;4;4000;20;20000;0;0;0;0;0;0;0;0
02.06.2020 18:00;16;16000;4;4000;19;18990;59;45070;179;240223;265;453863;0;0;15;14970;4;4000;19;19000;0;0;0;0;0;0;0;0
02.06.2020 19:00;13;13000;4;4000;12;12000;43;24750;132;113140;210;245663;0;0;13;12990;4;4000;12;11990;0;0;0;0;0;0;0;0
02.06.2020 20:00;8;7990;4;3990;12;12000;46;30302;91;95520;147;163050;0;0;8;8000;4;4000;12;11980;0;0;0;0;0;0;0;0
02.06.2020 21:00;7;6990;4;3980;11;11000;29;15352;71;46992;90;120790;0;0;7;7000;4;3990;12;12000;0;0;0;0;0;0;0;0
02.06.2020 22:00;6;6000;4;4000;10;9990;24;20930;32;53520;74;43960;0;0;6;6000;5;5000;9;9000;0;0;0;0;0;0;0;0
02.06.2020 23:00;4;4000;5;4990;8;8000;16;12850;18;13100;64;42850;0;0;4;3990;4;3990;8;8000;0;0;0;0;0;0;0;0
03.06.2020 00:00;6;5990;2;2000;4;4000;9;5400;8;5990;27;16820;0;0;6;6000;2;2000;4;3990;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;5;3380;6;4420;18;9530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;4;1750;9;5910;13;10860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;2;2000;3;3030;4;2950;5;4750;0;0;0;0;0;0;2;1990;0;0;0;0;0;0;0;0
03.06.2020 04:00;2;2000;0;0;3;3000;8;4840;7;6060;12;12820;0;0;2;1990;0;0;3;3000;0;0;0;0;0;0;0;0
03.06.2020 05:00;8;7990;2;2000;14;13990;20;13480;28;24780;36;35170;0;0;8;7970;2;2000;14;13980;0;0;0;0;0;0;0;0
03.06.2020 06:00;14;14000;4;3990;20;19970;43;28840;75;61990;110;77410;0;0;14;14000;4;4000;20;19970;0;0;0;0;0;0;0;0
03.06.2020 07:00;16;15980;4;3990;20;19990;79;60790;138;166050;195;322345;0;0;16;15980;4;4000;21;20990;0;0;0;0;0;0;0;0
03.06.2020 08:00;16;15980;4;3990;19;18980;113;121710;194;190652;237;563542;0;0;16;15980;4;4000;19;18980;0;0;0;0;0;0;0;0
03.06.2020 09:00;17;17043;4;4000;22;21950;71;462654;191;207370;262;532212;0;0;17;17033;4;4000;21;20970;0;0;0;0;0;0;0;0
03.06.2020 10:00;17;16960;4;4000;20;19980;89;82330;199;358616;288;660567;0;0;17;17093;4;3990;20;19980;0;0;0;0;0;0;0;0
03.06.2020 11:00;15;14980;4;4000;20;19990;102;116402;217;291162;257;568762;0;0;16;15970;4;4000;19;18990;0;0;0;0;0;0;0;0
03.06.2020 12:00;16;15990;5;5000;20;19990;89;73490;199;378567;268;538333;0;0;16;15990;5;4990;20;19990;0;0;0;0;0;0;0;0
03.06.2020 13:00;15;14970;4;3990;22;21990;76;64333;182;353823;248;605932;0;0;15;14980;4;3990;20;19970;0;0;0;0;0;0;0;0
03.06.2020 14:00;16;16000;4;4000;21;20980;88;64580;199;328878;257;639889;0;0;17;17000;4;3990;20;19980;0;0;0;0;0;0;0;0
03.06.2020 15:00;16;15990;4;3990;20;19970;81;63900;205;413956;329;738831;0;0;16;15990;4;4000;20;20036;0;0;0;0;0;0;0;0
03.06.2020 16:00;15;14970;4;4000;19;18990;92;61300;190;564280;315;571329;0;0;16;15990;4;3990;19;18980;0;0;0;0;0;0;0;0
03.06.2020 17:00;15;14990;4;4000;19;18960;62;47810;185;520710;273;469698;0;0;16;15990;4;4000;18;17990;0;0;0;0;0;0;0;0
03.06.2020 18:00;15;15000;4;4000;20;19970;79;63870;193;283057;242;413190;0;0;14;13980;4;3980;20;19980;0;0;0;0;0;0;0;0
03.06.2020 19:00;11;10980;4;4000;11;11000;62;41810;119;165916;179;199213;0;0;12;12000;4;4000;12;11990;0;0;0;0;0;0;0;0
03.06.2020 20:00;9;9000;4;4000;12;11990;39;24570;71;51630;137;127860;0;0;8;7980;4;4000;12;11980;0;0;0;0;0;0;0;0
03.06.2020 21:00;7;7000;4;4000;12;11990;28;20110;55;44320;101;88140;0;0;7;7000;5;4990;12;11990;0;0;0;0;0;0;0;0
03.06.2020 22:00;6;6000;4;3980;9;8990;22;18480;37;27130;75;56289;0;0;6;5990;4;4000;9;8980;0;0;0;0;0;0;0;0
03.06.2020 23:00;4;4000;4;4055;8;8000;16;13320;23;19660;45;29864;0;0;4;4000;4;3730;8;8000;0;0;0;0;0;0;0;0
04.06.2020 00:00;6;5990;3;2990;4;4000;4;2080;9;6420;35;26550;0;0;6;6000;2;2260;4;4000;0;0;0;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;0;0;5;3470;9;6690;22;14040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
