01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_T3_4;Vwz_T3_4;Bel_T7_8;Vwz_T7_8
05.06.2020 01:00;3;3370;9;9780;0;0;0;3600000
05.06.2020 02:00;2;4990;2;1450;0;0;0;3600000
05.06.2020 03:00;3;2580;1;60;0;0;0;3600000
05.06.2020 04:00;2;2110;3;4570;0;0;1;3444820
05.06.2020 05:00;9;9060;18;23370;0;0;0;3600000
05.06.2020 06:00;24;394260;37;853202;3;2620;0;3600000
05.06.2020 07:00;59;761182;55;1278291;5;3560;0;3600000
05.06.2020 08:00;52;654770;60;1022963;12;14480;0;3600000
05.06.2020 09:00;55;703724;63;1468257;13;10142;0;3600000
05.06.2020 10:00;59;462279;102;1392335;17;10070;0;3600000
05.06.2020 11:00;69;527995;114;1406277;24;14520;0;3600000
05.06.2020 12:00;53;541419;169;1899622;23;7590;0;3600000
05.06.2020 13:00;56;802880;125;1866321;19;11990;0;3600000
05.06.2020 14:00;52;702041;123;1785774;9;5130;0;3600000
05.06.2020 15:00;56;956168;131;1965513;22;20880;0;3600000
05.06.2020 16:00;51;694404;114;1894330;13;8740;0;3600000
05.06.2020 17:00;61;865086;124;1728370;14;12150;0;3600000
05.06.2020 18:00;51;958315;113;1603901;6;7760;0;3600000
05.06.2020 19:00;23;867179;75;1465175;8;2160;0;3600000
05.06.2020 20:00;29;435435;59;1102692;11;5160;0;3600000
05.06.2020 21:00;15;202358;44;831963;6;4190;0;3600000
05.06.2020 22:00;14;228260;31;504398;2;1170;0;3600000
05.06.2020 23:00;8;179760;21;449130;0;0;0;3600000
06.06.2020 00:00;4;4990;18;66870;0;0;0;3600000
06.06.2020 01:00;9;8180;8;16300;0;0;0;3600000
06.06.2020 02:00;1;970;5;5900;0;0;0;3600000
06.06.2020 03:00;0;0;2;1740;0;0;0;3600000
06.06.2020 04:00;4;3850;1;1200;0;0;0;3600000
06.06.2020 05:00;6;5910;5;5200;0;0;0;3600000
06.06.2020 06:00;2;52533;6;159070;0;0;0;3600000
06.06.2020 07:00;12;156210;16;304009;3;890;0;3600000
06.06.2020 08:00;25;354275;33;555593;3;480;0;3600000
06.06.2020 09:00;34;434814;49;772933;4;5110;0;3600000
06.06.2020 10:00;72;684291;84;1185628;13;10120;0;3600000
06.06.2020 11:00;70;529545;99;1378016;18;15550;0;3600000
06.06.2020 12:00;53;346577;122;1314064;22;12060;0;3600000
06.06.2020 13:00;45;528119;124;1277062;17;14048;0;3600000
06.06.2020 14:00;66;550781;111;1449812;25;27169;0;3600000
06.06.2020 15:00;48;452569;110;1464086;9;6530;0;3600000
06.06.2020 16:00;43;699070;114;1506135;16;10330;0;3600000
06.06.2020 17:00;48;656571;93;1424397;25;20550;0;3600000
06.06.2020 18:00;37;467931;114;1355879;15;8910;0;3600000
06.06.2020 19:00;36;503514;99;1344792;11;3780;0;3600000
06.06.2020 20:00;27;511557;61;982296;7;5040;0;3600000
06.06.2020 21:00;11;185726;34;779003;2;880;0;3600000
06.06.2020 22:00;9;138060;26;374178;4;5179;0;3600000
06.06.2020 23:00;9;106730;23;533225;1;330;0;3600000
07.06.2020 00:00;8;29160;21;71600;1;920;0;3600000
07.06.2020 01:00;3;3140;13;16720;0;0;0;3600000
07.06.2020 02:00;8;4710;13;11840;0;0;0;3600000
07.06.2020 03:00;1;790;1;1140;0;0;0;3600000
07.06.2020 04:00;3;7770;2;2820;0;0;0;3600000
07.06.2020 05:00;3;24170;1;540;0;0;0;3600000
07.06.2020 06:00;1;39640;5;104290;0;0;0;3600000
07.06.2020 07:00;5;1680;7;107809;2;1330;0;3600000
07.06.2020 08:00;3;23042;9;160480;1;1300;0;3600000
07.06.2020 09:00;17;219480;22;474578;2;1660;0;3600000
07.06.2020 10:00;22;305148;22;371406;7;3970;0;3600000
07.06.2020 11:00;26;346325;49;723632;5;5420;0;3600000
07.06.2020 12:00;30;528790;64;723365;4;2310;0;3600000
07.06.2020 13:00;29;279976;70;770098;8;4040;0;3600000
07.06.2020 14:00;32;693293;48;634552;12;7090;0;3600000
07.06.2020 15:00;46;477833;47;690955;13;9270;0;3600000
07.06.2020 16:00;29;335366;65;993126;10;6580;0;3600000
07.06.2020 17:00;31;323415;67;858101;9;6320;0;3600000
07.06.2020 18:00;28;311640;53;763107;7;4240;0;3600000
07.06.2020 19:00;24;494980;62;751317;11;11070;0;3600000
07.06.2020 20:00;29;386940;45;695159;4;1970;0;3600000
07.06.2020 21:00;14;305338;29;476824;3;2850;0;3600000
07.06.2020 22:00;9;248860;21;400882;0;0;0;3600000
07.06.2020 23:00;7;106820;14;282786;0;0;0;3600000
08.06.2020 00:00;2;3130;8;28920;0;0;0;3600000
08.06.2020 01:00;3;910;4;3560;0;0;0;3600000
08.06.2020 02:00;1;300;3;4220;0;0;0;3600000
08.06.2020 03:00;3;2470;1;540;0;0;0;3600000
08.06.2020 04:00;2;2340;4;5368;0;0;0;3600000
08.06.2020 05:00;11;7120;16;14330;0;0;0;3600000
08.06.2020 06:00;30;621372;29;761939;2;1470;0;3600000
08.06.2020 07:00;69;570273;65;1114507;14;7850;0;3600000
08.06.2020 08:00;69;1056800;65;1310326;19;17960;0;3600000
08.06.2020 09:00;50;798240;63;838082;10;6350;0;3600000
08.06.2020 10:00;64;712367;104;1318805;22;14720;0;3600000
08.06.2020 11:00;63;444942;109;1198720;13;9400;0;3600000
08.06.2020 12:00;59;544637;132;1492543;18;17470;0;3600000
08.06.2020 13:00;61;841238;152;1559056;14;11830;0;3600000
08.06.2020 14:00;63;471720;116;1308612;30;25650;0;3600000
08.06.2020 15:00;70;1041409;171;1945396;23;13043;0;3600000
08.06.2020 16:00;69;914070;149;1834771;9;5880;0;3600000
08.06.2020 17:00;58;652136;115;1616314;17;11620;0;3600000
08.06.2020 18:00;59;959751;122;1196151;11;8390;0;3600000
08.06.2020 19:00;38;518709;77;1417276;18;12510;0;3600000
08.06.2020 20:00;32;566590;67;814069;14;6190;0;3600000
08.06.2020 21:00;18;326514;34;754069;13;6030;0;3600000
08.06.2020 22:00;13;193268;33;550701;6;2070;0;3600000
08.06.2020 23:00;15;144810;22;511503;0;0;0;3600000
09.06.2020 00:00;1;240;7;5770;0;0;0;3600000
09.06.2020 01:00;3;1080;4;3310;0;0;0;3600000
09.06.2020 02:00;1;900;1;430;0;0;0;3600000
09.06.2020 03:00;0;0;1;720;0;0;0;3600000
09.06.2020 04:00;5;3080;6;6790;0;0;0;3600000
09.06.2020 05:00;8;7100;15;11750;0;0;0;3600000
09.06.2020 06:00;23;563072;30;615741;1;1510;0;3600000
09.06.2020 07:00;66;890436;53;1256402;7;4850;0;3600000
09.06.2020 08:00;60;657010;62;1188200;14;10120;0;3600000
09.06.2020 09:00;65;723571;74;1243704;18;10970;0;3600000
09.06.2020 10:00;69;733218;110;1374325;21;12880;0;3600000
09.06.2020 11:00;49;505523;137;1489530;28;12200;0;3600000
09.06.2020 12:00;51;644952;114;1515692;22;13690;0;3600000
09.06.2020 13:00;64;694302;115;1394939;27;17410;0;3600000
09.06.2020 14:00;52;785868;114;1449129;20;10210;0;3600000
09.06.2020 15:00;54;1021528;157;2257763;22;15180;0;3600000
09.06.2020 16:00;68;954933;147;2006520;15;14170;0;3600000
